what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1393816830222
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1393816830395
opened,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1393816833958
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1393816834018
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1393816835186
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393816837991
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393816843826
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1393816845203
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1393816845632
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393816846062
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393816859239
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1393816859578
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1393816859766
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393816873201
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393816923298
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393816925699
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393821123952
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393821125643
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1393821127249
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393821127417
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1393821128006
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1393821128035
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1393821128077
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1393821128077
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1393821128077
activated,perspective,org.eclipse.wst.jsdt.ui,,"org.eclipse.wst.jsdt.ui.JavaPerspective",1394060808606
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1394060808608
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1394060808613
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1394060808671
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1394060808672
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1394060808673
